node,degree,strength,clustering,betweenness,closeness,eigenvector
T01. Artificial Intelligence will improve society more than it will create problems.,5,1.0658510096387956,0.06689906411147331,0.11221507890122734,1.085782994266569,0.014539464170874759
T02. Generative AI tools should be allowed as learning aids in higher education.,3,1.1624254647917938,0.0,0.022209234365867914,0.924688029797194,0.03722187027798098
T03. Students should disclose the use of AI in assignments and reports.,3,1.168224569517181,0.2323185554949894,0.011689070718877849,0.8496875483698697,0.09178082090141557
T04. Every engineering student should receive formal education in AI.,4,1.3607286776768115,0.10851182352424986,0.04850964348334307,1.0037842785118576,0.0918202491756728
T05. Artificial Intelligence will significantly accelerate scientific discovery.,4,1.2250177648832712,0.14643427583112995,0.019871420222092342,0.9921222323650195,0.044478656155846195
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,4,1.6465031444499458,0.24224690115677708,0.014026884862653417,0.8556706584699217,0.09171043679262399
T07. Robots should replace humans in hazardous occupations whenever possible.,4,1.2512519382167149,0.14643427583112995,0.023378141437755698,0.9903144280248042,0.04023248721907944
T08. AI-assisted diagnosis should become routine in healthcare.,4,0.9891803090359755,0.0,0.08649912331969607,1.0943772194391972,0.027728715842680805
T09. Autonomous vehicles will ultimately make transportation safer.,3,0.7823296796429309,0.0,0.03565166569257744,0.9783297467313136,0.03138088604735376
T10. Protection of personal data is more important than technological convenience.,3,1.235068230534448,0.2315305182232796,0.011689070718877849,0.8797610118125664,0.03933630659877782
T11. Technology companies should explain how recommendation algorithms work.,5,1.7313909750219418,0.0,0.0701344243132671,1.0837368480654175,0.1234621116739578
T12. Governments should introduce stricter regulations for Artificial Intelligence.,5,2.135245197093793,0.1333244058445601,0.023378141437755698,0.8676816525168624,0.07117078585181899
T13. Cybersecurity deserves greater investment than the development of new digital technologies.,3,1.1275098614670673,0.21288416792525408,0.011689070718877849,0.8351139834480752,0.05334206574101929
T14. Social media algorithms contribute to opinion polarization.,3,1.1974527304611955,0.0,0.025131502045587374,0.8936466071695546,0.0668641896113781
T15. Society will increasingly depend on AI-assisted decision making.,3,0.7796306949704269,0.0,0.03682057276446522,1.005199560335263,0.05094691813702507
E01. Project-based learning develops deeper understanding than examination-oriented learning.,3,1.1389815594311645,0.0,0.02396259497369959,0.9136178674930716,0.052703940973110784
E02. Traditional written examinations accurately measure a student's knowledge.,3,0.6286035869345129,0.08833249978277381,0.05610753945061367,1.0528616349455884,0.0037383448991006782
E03. Class attendance should be compulsory for all courses.,3,0.4644480671909573,0.08833249978277381,0.06662770309760374,1.0784739478099625,0.00337595553870842
E04. High-quality online learning can effectively complement classroom teaching.,3,0.7997175429426525,0.35391981038079745,0.027469316189362943,1.0217389038970826,0.06586105293700661
E05. Students should be encouraged to take courses outside their primary discipline.,4,1.4557674148670627,0.0,0.021624780829924018,0.907066794886464,0.09232676890492005
E06. Every undergraduate student should participate in at least one research project.,3,0.9395340678428188,0.0,0.022209234365867914,0.8824494267125409,0.04050129250509723
"E07. Publishing research before graduation should be encouraged, but not mandatory.",4,1.8393339106232638,0.12495411191370664,0.013442431326709525,0.90183795560662,0.14705005872564966
E08. Maintaining academic honesty is more important than obtaining high grades.,4,1.0702325070360033,0.0,0.09234365867913501,1.08763966719232,0.07644969426061683
E09. Collaborative learning is generally more effective than individual learning.,4,1.3341755647932534,0.15028953165477657,0.015195791934541203,0.8521769595409545,0.03766872821059916
E10. Universities should prioritize innovation and problem-solving over rote learning.,10,4.2136822743201,0.09386860063611221,0.11864406779661016,1.0887947496481942,0.217778379683076
E11. University curricula should be updated more frequently to match emerging technologies.,3,1.3863721426752438,0.2323185554949894,0.004675628287551139,0.7988705915487783,0.10259238140958522
E12. Artificial intelligence should be integrated into teaching and personalized learning.,3,1.4293889692305766,0.23615555685285547,0.0,0.8022027975324382,0.06845244849045419
E13. Universities should invest more resources in research than in expanding infrastructure.,3,0.8045648860157828,0.30057906330955314,0.0011689070718877848,0.8309829012600513,0.025263171093943056
E14. Strong collaborations between universities and industry improve student education.,6,2.6647609693694054,0.1973106835937816,0.025131502045587374,0.970845220281231,0.14845730805880503
E15. Continuous learning and skill development are essential throughout one's career.,5,2.26031813165266,0.08138499048968885,0.03915838690824079,0.9909300916139183,0.1420138509647304
